stride_lines	stride_bytes	train_step	avg_ns
30	1920	32	172
30	1920	33	48
30	1920	34	48
30	1920	35	175
30	1920	36	67
30	1920	37	189
30	1920	38	54
30	1920	39	175
31	1984	0	151
31	1984	1	194
31	1984	2	195
31	1984	3	200
31	1984	4	196
31	1984	5	201
31	1984	6	50
31	1984	7	203
31	1984	8	51
31	1984	9	166
31	1984	10	50
31	1984	11	157
31	1984	12	55
31	1984	13	153
31	1984	14	53
31	1984	15	154
31	1984	16	51
31	1984	17	171
31	1984	18	47
31	1984	19	156
31	1984	20	50
31	1984	21	158
31	1984	22	50
31	1984	23	144
31	1984	24	50
31	1984	25	157
31	1984	26	49
31	1984	27	163
31	1984	28	47
31	1984	29	156
31	1984	30	48
31	1984	31	157
31	1984	32	53
31	1984	33	50
31	1984	34	152
31	1984	35	57
31	1984	36	153
31	1984	37	59
31	1984	38	154
31	1984	39	62
32	2048	0	131
32	2048	1	168
32	2048	2	168
32	2048	3	168
32	2048	4	157
32	2048	5	48
32	2048	6	167
32	2048	7	52
32	2048	8	166
32	2048	9	50
32	2048	10	157
32	2048	11	52
32	2048	12	157
32	2048	13	50
32	2048	14	153
32	2048	15	60
32	2048	16	180
32	2048	17	48
32	2048	18	170
32	2048	19	48
32	2048	20	172
32	2048	21	48
32	2048	22	175
32	2048	23	68
32	2048	24	186
32	2048	25	71
32	2048	26	167
32	2048	27	49
32	2048	28	144
32	2048	29	46
32	2048	30	157
32	2048	31	46
32	2048	32	137
32	2048	33	59
32	2048	34	152
32	2048	35	45
32	2048	36	178
32	2048	37	48
32	2048	38	172
32	2048	39	46
33	2112	0	320
33	2112	1	235
33	2112	2	192
33	2112	3	190
33	2112	4	187
33	2112	5	183
33	2112	6	209
33	2112	7	195
33	2112	8	212
33	2112	9	202
33	2112	10	161
33	2112	11	207
33	2112	12	168
33	2112	13	200
33	2112	14	175
33	2112	15	206
33	2112	16	165
33	2112	17	188
33	2112	18	178
33	2112	19	156
33	2112	20	159
33	2112	21	178
33	2112	22	208
33	2112	23	188
33	2112	24	187
33	2112	25	195
33	2112	26	146
33	2112	27	149
33	2112	28	152
